generation,rank,fitness,f1,latency,params,depth,genotype
6,10,0.13347278583398367,0.514762582840472,0.10761261653900146,69459460,4,"[1, 0, 0, 1]"
6,11,0.13062881039131238,0.506748508326482,0.10543180608749389,69459460,4,"[1, 1, 1, 0]"
6,12,0.12227035159402774,0.49761744535657576,0.11202440786361695,69459460,4,"[1, 1, 1, 0]"
6,13,0.11945019263138054,0.49099450467398054,0.11125740337371826,69459460,4,"[1, 1, 1, 1]"
6,14,0.11577278984110387,0.47468865575290803,0.10322062015533447,69459460,4,"[1, 0, 1, 1]"
6,15,0.11518877601045595,0.48023050956750146,0.10948373460769653,69459460,4,"[1, 1, 0, 0]"
6,16,0.11177084403990874,0.4968857139021867,0.1312626838684082,69459460,5,"[1, 1, 0, 0, 0]"
6,17,0.10347983568233968,0.4551798730784749,0.10949446630477905,69459460,4,"[1, 1, 1, 0]"
6,18,0.10101408164506519,0.45288000243928467,0.1125928339958191,69459460,4,"[0, 1, 1, 1]"
6,19,0.08051818155627916,0.41598307731762674,0.125178617477417,69459460,5,"[0, 1, 0, 1, 1]"
7,0,0.182086575640874,0.5913424575698284,0.10132304191589356,69459460,4,"[1, 0, 1, 1]"
7,1,0.18079671492658972,0.6012341678689348,0.11034306144714355,69459460,4,"[1, 1, 1, 0]"
7,2,0.16927804921649878,0.6083266120080314,0.13033338403701783,69459460,5,"[1, 0, 1, 1, 1]"
7,3,0.15294008681231036,0.5472398543766552,0.10567097997665405,69459460,4,"[0, 1, 1, 1]"
7,4,0.15007446285382134,0.5353525398335929,0.10007171630859375,69459460,4,"[0, 1, 1, 1]"
7,5,0.14548417281830295,0.542734953664293,0.11315943765640259,69459460,4,"[1, 0, 1, 1]"
7,6,0.14354502843330322,0.5316024489847022,0.10688334560394287,69459460,4,"[0, 1, 0, 1]"
7,7,0.14025534224836803,0.5266874560953955,0.10791479206085206,69459460,4,"[1, 1, 1, 1]"
7,8,0.14001819181372882,0.5237865370254642,0.10582053184509277,69459460,4,"[0, 1, 0, 1]"
7,9,0.1393498954519593,0.5387179599484146,0.11947799968719483,69459460,5,"[0, 1, 1, 1, 1]"
7,10,0.1369240936949094,0.5360088469008525,0.12115232896804809,69459460,5,"[0, 1, 0, 0, 1]"
7,11,0.13509650896463157,0.5140414198620044,0.10542249298095703,69459460,4,"[1, 1, 1, 0]"
7,12,0.13040848383594061,0.515593224098727,0.11467959356307983,69459460,4,"[1, 0, 0, 1]"
7,13,0.128166161606634,0.499929637027774,0.10474832677841187,69459460,4,"[0, 0, 0, 0]"
7,14,0.1264884772850412,0.5191136919907686,0.12455996656417846,69459460,5,"[0, 1, 0, 1, 0]"
7,15,0.1260560086891859,0.4967697892409327,0.10562597227096558,69459460,4,"[0, 1, 1, 1]"
7,16,0.11097348878763665,0.46495758697573913,0.10452306509017945,69459460,4,"[0, 1, 1, 1]"
7,17,0.10865649096786367,0.4788963550132098,0.12247381258010864,69459460,4,"[1, 1, 1, 1]"
7,18,0.10072831646499318,0.4513020509996116,0.11286208152770996,69459460,4,"[0, 1, 1, 0]"
7,19,0.08021601709038477,0.4109256326795821,0.12187475728988648,69459460,5,"[0, 1, 0, 1, 1]"
8,0,0.16804545391629622,0.5751532618962755,0.10604007196426392,69459460,4,"[0, 1, 1, 1]"
8,1,0.16458946772731697,0.5750968997996828,0.11061335229873658,69459460,4,"[0, 0, 1, 1]"
8,2,0.1606859391690826,0.5619286834695686,0.10565338277816773,69459460,4,"[1, 1, 1, 0]"
8,3,0.15998138339494575,0.5743571356197208,0.11635045385360718,69459460,5,"[0, 1, 1, 0, 1]"
8,4,0.15547680853976326,0.5610249935365977,0.11226000499725342,69459460,4,"[1, 0, 1, 1]"
8,5,0.1501763525135266,0.5455238325156357,0.10751622152328491,69459460,4,"[1, 0, 1, 1]"
8,6,0.1491546689854911,0.5378135352995914,0.10270777225494385,69459460,4,"[1, 0, 0, 1]"
8,7,0.13802731271694865,0.5332554676104864,0.1161514549255371,69459460,4,"[1, 0, 0, 0]"
8,8,0.13226634425270936,0.5337383404707643,0.12602580213546752,69459460,5,"[0, 1, 1, 1, 1]"
8,9,0.13215523831276405,0.5241514763762606,0.11815869331359863,69459460,4,"[1, 1, 1, 0]"
8,10,0.12255183855638205,0.4883870799899985,0.10351703214645386,69459460,4,"[1, 1, 1, 0]"
8,11,0.11984761537221089,0.5018472714634016,0.12055516338348389,69459460,5,"[1, 1, 1, 1, 0]"
8,12,0.11604461861956947,0.4732563088491557,0.10165454912185669,69459460,4,"[1, 1, 1, 1]"
8,13,0.10940406372597843,0.4892967235915059,0.12955756855010986,69459460,5,"[1, 0, 1, 1, 1]"
8,14,0.10842813619257728,0.45638465979338205,0.10060697889328003,69459460,4,"[0, 0, 1, 0]"
8,15,0.10280716514254144,0.4507024015460507,0.10686675405502319,69459460,4,"[0, 1, 1, 1]"
8,16,0.10211335690901438,0.44884111638725854,0.10653236484527588,69459460,4,"[0, 0, 0, 1]"
8,17,0.09936269890213588,0.4511962086462674,0.11492464780807495,69459460,4,"[1, 0, 0, 1]"
8,18,0.09796718117973975,0.4371336500144549,0.10399758768081666,69459460,4,"[1, 0, 1, 1]"
8,19,0.09352200933301613,0.4349144529915853,0.11205284261703491,69459460,4,"[1, 0, 1, 1]"
